date|time|description|vendor|amount
2025-12-15|09:30:00|Annual subscription renewal|Software.com|299.99
2025-11-20|14:15:30|Website hosting|GoDaddy|150.00
2025-10-10|11:45:00|Office equipment purchase|Office Depot|-245.50
2026-01-05|10:00:00|Q1 consulting project|Acme Corp|5000.00
2026-01-15|13:30:45|Monthly rent payment|Landlord LLC|-1500.00
2026-01-20|09:15:20|Office supplies|Amazon|-87.95
2026-02-01|08:45:00|Client project invoice paid|TechStartup Inc|3500.00
2026-02-05|14:20:15|Internet bill|Comcast|-79.99
2026-02-10|10:30:00|Freelance graphics work|Creative Solutions|1200.00
2026-02-14|16:00:30|Equipment rental|Rent-A-Tech|-320.00
2026-02-28|09:00:00|Monthly software license|Adobe Creative Cloud|-99.99
2026-03-01|10:15:45|Web design project|Digital Dreams Agency|2800.00
2026-03-05|11:30:20|Monthly office supplies|Staples|-156.75
2026-03-12|14:45:00|Client retainer payment|Marketing Plus|4000.00
2026-03-18|13:20:10|Hardware upgrade|Best Buy|-899.99
2026-03-25|09:30:00|Bookkeeping services|AccountantPro|-500.00
2026-04-01|08:00:00|Monthly rent|Landlord LLC|-1500.00
2026-04-03|10:15:30|Logo design project|Local Coffee Shop|650.00
2026-04-05|14:30:45|Office furniture|IKEA|-425.50
2026-04-08|11:45:00|Invoice 2026-001 paid|FreshStart Fitness|3000.00
2026-04-10|09:20:15|Internet and phone|Comcast|-89.99
2026-04-12|15:00:30|Consulting fee|Small Business Hub|2200.00
2026-04-15|10:13:25|Ergonomic keyboard|Amazon|-89.50
2026-04-15|14:30:00|Client meeting supplies|Whole Foods|-45.75
2026-04-18|11:15:45|Invoice paid - Project Alpha|TechVision Corp|6500.00
2026-04-20|13:45:20|Monthly subscriptions|Software|Monthly Subs|-199.99
2026-04-22|09:30:00|Training course|Udemy|-49.99
2026-04-25|16:20:15|Client refund|Happy Customer|refund|-500.00
